book No	Author	Alternate name (i.e.  Order Name)	Translator	Title	Sub-title	Year of Publication	Publisher	Place	Edition	Subject	Class 1	Class 2	Class 3	Keywords	Synopsis	Notes	ISBN	Medium	Copies	
637			PadmaKara translation group	The Way of the Bodhisattva		1997	shambala				MAH TXT	BOD	PTG				1-57062-253-1	paper	1	
638			"Sharma, Paramanda"	Santideva's Bodhicharyavatara Volume I		1990	Aditya Prakashan			Mahayana Sutras	MAH TXT	BOD	SHA				81-85179-14-X	Hardback book	1	
639			"Sharma, Paramanda"	Santideva's Bodhicharyavatara Volume II		1990	Aditya Prakashan			Mahayana Sutras	MAH TXT	BOD	SHA				81-85179-15-8	Hardback book	1	
640			"Johnston, E.H."	The Buddhacarita or Acts of the Buddha		1992	Motilal Banarsidass			Mahayana Sutras	MAH TXT	BUD	JOH				81-208-1029-5	Hardback book	1	
641	Nagarjuna		"Frye, S."	Nagarjuna's A Drop of Nourishment for people	The Jewel Ornament: A Commentary	1981	Library of Tibetan Works & Archives			Madhyamaka and Yogacara	MAH TXT	DN/JO	NAG					Paperback book	1	
642	Nagarjuna		"Frye, S."	Nagarjuna's A Drop of Nourishment for people	The Jewel Ornament: A Commentary	1981	Library of Tibetan Works & Archives			Madhyamaka and Yogacara	MAH TXT	DN/JO	NAG					Paperback book	1	
643			"Pine, R."	The Diamond Sutra	The perfection of wisdom	2001	Counterpoint			Mahayana Sutras	MAH TXT	DS	PIN				1-58243-256-2	Paperback book	1	
644			"Price, A.F."	The Jewel of Transcendental Wisdom (The Diamond Sutra)		1947	"The Buddhist Society, London"			Mahayana Sutras	MAH TXT	DS	PRI					Paperback book	1	
645			"Soeng, M."	The Diamond Sutra	Transforming the way we perceive the world	2000	Wisdom Publications			Mahayana Sutras	MAH TXT	DS	SOE				0-86171-160-2	Paperback book	1	
646			"Price, A.F., Mou-lam, W."	The Diamond Sutra & the Sutra of Hui-Neng		1990	Shambala Publications			Mahayana Sutras	MAH TXT	DS/SHN	PRI				0-87773-005-9	Paperback book	1	
647			"Price, A.F. and Wong, Mou-Lam"	The Diamond Sutra and The Sutra of Hui Neng		1969	Shambhala	Boulder			MAH TXT	DS/SHN	PRI				0-394-73019-4	Book	1	
648			"Willemen, C., Keisho, T."	The Treatise on the Elucidation of the Knowable	The Cycle of the Formation of the schismatic Doctrines	2004	Numata Centre for Buddhist Translation and Research			Mahayana Sutras	MAH TXT	EK	WIL				1-886439-30-3	Hardback book	1	
649	Nagarjuna		"Jamieson, R.C."	A Study of Nagarjuna's Twenty Verses on the Great Vehicle and His verses on the Heart of Dependent Origination with the Interpretation of the Heart of Dependent Origination		2002	Peter Lang Publishing			Madhyamaka and Yogacara	MAH TXT	GV/HDO	NAG				0-8204-6706-5	Hardback book	1	
650	Hakuin		"Waddell, Norman"	Zen Words for the Heart	Hakuin's commentary on the Heart Sutra	1996	Shambhala				MAH TXT	HS	HAK					PAPERBCAK	1	
651	"Willson, Martin"			In Praise of Tara	Songs to the Saviouress	1986	Wisdom Publications			Mahayana Studies	MAH TXT	IPT	WIL				0-86171-033-9	Paperback book	1	
652	"Willson, Martin"			In Praise of Tara	Songs to the Saviouress	1986	Wisdom Publications			Mahayana Studies	MAH TXT	IPT	WIL				0-86171-033-9	Paperback book	1	
653			"Bays, G."	The Lalitavistara - The Voice of the Buddha Volume 1	The Beauty of Compassion	1983	Dharma Publishing			Mahayana Sutras	MAH TXT	LAL	BAY			Box set with Vol 1 and 2 - INCORRECT	0-913546-84-4	Hardback book	1	
654			"Bays, G."	The Lalitavistara - The Voice of the Buddha Volume 1	The Beauty of Compassion	1983	Dharma Publishing			Mahayana Sutras	MAH TXT	LAL	BAY			Box set with Vol 1 and 2 - INCORRECT	0-913546-84-4	paperback	1	
655			"Bays, G."	The Lalitavistara - The Voice of the Buddha Volume 2	The Beauty of Compassion	1983	Dharma Publishing			Mahayana Sutras	MAH TXT	LAL	BAY			Box set with Vol 1 and 2 - INCORRECT	0-913546-85-2	Hardback book	1	
656			"Suzuki, DT"	The Lankavatara Sutra		1956	Routledge & Kegan Paul				MAH TXT	LAN	SUZ					hard	1	
657	Nagarjuna		"Tharchin, L., Engle, A.B."	Nagarjuna's Letter	"Nagarjuna's ""Letter to a Friend"""	1979	Library of Tibetan Works & Archives			Madhyamaka and Yogacara	MAH TXT	LF	NAG					Hardback book	1	
658	Nagarjuna		"Tharchin, L., Engle, A.B."	Nagarjuna's Letter	"Nagarjuna's ""Letter to a Friend"""	1995	Library of Tibetan Works & Archives			Madhyamaka and Yogacara	MAH TXT	LF	NAG				81-85102-20-1	Paperback book	1	
659			"Wayman, A."	The Lion's Roar of Queen Srimala	A Buddhist Scripture on the Tathagatagarbha Theory	1974	Columbia University Press			Mahayana Sutras	MAH TXT	LRQS	WAY				81-208-0731-6	Hardback book	1	
660			"Stcherbatsky, Th"	Madhyanta-Vibhanga Discourse	on Discrimination between the middle and the extremes	1978	Oriental Books Reprint Corporation				MAH TXT	MAD	STC					hard	1	
661			"Yamoto, K."	The Mahayana Mahaparinirvana Sutra Volume Eight	A complete translation from the classical chinese	1999	Nirvana Publications			Mahayana Sutras	MAH TXT	MAH	YAM				1-903036-07-0	Pamphlet - A5	1	
662			"Yamoto, K."	The Mahayana Mahaparinirvana Sutra Volume Eleven	A complete translation from the classical chinese	1999	Nirvana Publications			Mahayana Sutras	MAH TXT	MAH	YAM				1-903036-10-0	Pamphlet - A5	1	
663			"Yamoto, K."	The Mahayana Mahaparinirvana Sutra Volume Five	A complete translation from the classical chinese	1999	Nirvana Publications			Mahayana Sutras	MAH TXT	MAH	YAM				1-903036-04-6	Pamphlet - A5	1	
664			"Yamoto, K."	The Mahayana Mahaparinirvana Sutra Volume Four	A complete translation from the classical chinese	1999	Nirvana Publications			Mahayana Sutras	MAH TXT	MAH	YAM				1-903036-03-8	Pamphlet - A5	1	
665			"Yamoto, K."	The Mahayana Mahaparinirvana Sutra Volume Nine	A complete translation from the classical chinese	1999	Nirvana Publications			Mahayana Sutras	MAH TXT	MAH	YAM				1-903036-08-9	Pamphlet - A5	1	
666			"Yamoto, K."	The Mahayana Mahaparinirvana Sutra Volume One	A complete translation from the classical chinese	1999	Nirvana Publications			Mahayana Sutras	MAH TXT	MAH	YAM				1-903036-00-3	Pamphlet - A5	1	
667			"Yamoto, K."	The Mahayana Mahaparinirvana Sutra Volume Seven	A complete translation from the classical chinese	1999	Nirvana Publications			Mahayana Sutras	MAH TXT	MAH	YAM				1-903036-06-2	Pamphlet - A5	1	
668			"Yamoto, K."	The Mahayana Mahaparinirvana Sutra Volume Six	A complete translation from the classical chinese	1999	Nirvana Publications			Mahayana Sutras	MAH TXT	MAH	YAM				1-903036-05-4	Pamphlet - A5	1	
669			"Yamoto, K."	The Mahayana Mahaparinirvana Sutra Volume Ten	A complete translation from the classical chinese	1999	Nirvana Publications			Mahayana Sutras	MAH TXT	MAH	YAM				1-903036-09-7	Pamphlet - A5	1	
670			"Yamoto, K."	The Mahayana Mahaparinirvana Sutra Volume Three	A complete translation from the classical chinese	1999	Nirvana Publications			Mahayana Sutras	MAH TXT	MAH	YAM				1-903036-02-X	Pamphlet - A5	1	
671			"Yamoto, K."	The Mahayana Mahaparinirvana Sutra Volume Twelve	A complete translation from the classical chinese	1999	Nirvana Publications			Mahayana Sutras	MAH TXT	MAH	YAM				1-903036-11-9	Pamphlet - A5	1	
672			"Yamoto, K."	The Mahayana Mahaparinirvana Sutra Volume Two	A complete translation from the classical chinese	1999	Nirvana Publications			Mahayana Sutras	MAH TXT	MAH	YAM				1-903036-01-1	Pamphlet - A5	1	
673	"Chang, C.C. (Ed)"		The Buddhist Association of the United States	A Treasury of Mahayana Sutras	Selections from the Maharatnakuta Sutra	1991	Motilal Banarsidass			Mahayana Sutras	MAH TXT	MRAT	BAUS				81-208-0936-x	Hardback book	1	
674			"Regamey, K."	The Bhadramayakaravyakarana		1990	Motilal Banarsidass			Mahayana Sutras	MAH TXT	MRAT	REG				81-208-0761-8	Hardback book	1	
675			"Garfield, Jay. L"	The Fundamental Wisdom of the Middle Way		1995	Oxford University Press			Madhyamaka and Yogacara	MAH TXT	MUL	GAR				0-19-509336-4	Paperback	1	
676			"Garfield, Jay. L"	The Fundamental Wisdom of the Middle Way		1995	Oxford University Press			Madhyamaka and Yogacara	MAH TXT	MUL	GAR				0-19-509336-4	Paperback	1	
677			"Inada, K.K."	A Translation of his Mulamadhyamakakarika with an introductory Essay		1993	Sri Satguru Publications			Madhyamaka and Yogacara	MAH TXT	MUL	INA				81-7030-385-0	Hardback book	1	
678			"Jones, JJ"	The Mahavastu volume 1		1987	The Pali Text Society				MAH TXT	MVA	JON				0 86013-041X	HARDBACK	1	
679			"Jones, JJ"	The Mahavastu volume 2		1976	The Pali Text Society				MAH TXT	MVA	JON				0-7100-8492-7	HARDBACK	1	
680			"Jones, JJ"	The Mahavastu volume 3		1978	The Pali Text Society				MAH TXT	MVA	JON				0-7100-8891-4	hard	1	
681			"Sprung, Mervyn"	Lucid Exposition of the Middle Way	The Essential Chapters from the Prasannapad of Chandrakirti	1979	Routledge & Kegan Paul				MAH TXT	PRA	SPR				0-7100-0190-8	hardback	1	
682			"Lokaksema, Kumarajiva"	The Pratyutpanna Samadhi Sutra	The Surangama Samadhi Sutra	1998	Numata Centre for Buddhist Translation and Research			Mahayana Sutras	MAH TXT	PRA/SUR	LOK				1-886439-06-0		1	
683			"Conze, Edward"	Selected Sayings from the Perfection of Wisdom		1978	Prajna Press			Mahayana Sutras	MAH TXT	PW/ANTH	CON				0-87773-709-6	Paperback book	1	
684			"Conze, Edward"	Selected Sayings from the Perfection of Wisdom		1978	Prajna Press			Mahayana Sutras	MAH TXT	PW/ANTH	CON				0-87773-709-6	Paperback book	1	
685			"Conze, Edward"	Selected Sayings from the Perfection of Wisdom		1968	The Buddhist Society			Mahayana Sutras	MAH TXT	PW/ANTH	CON					Paperback book	1	
686			"Thomas, E.J."	The Perfection of Wisdom	The Career of the Predestined Buddhas	1992	John Murray Publications			Mahayana Sutras	MAH TXT	PW/ANTH	THO				0-7195-5142-0	Hardback book	1	
687			"Conze, Edward"	The Perfection of Wisdom	in eight thousand lines & its verse summary	1973	City Lights			Mahayana Sutras	MAH TXT	PW8	CON				0-87704-049-4	Paperback book	1	
688			"Conze, Edward"	The Perfection of Wisdom in Eight Thousand Lines & its verse summary		1995	Four seasons			Mahayana Sutras	MAH TXT	PW8	CON				0-87704-049-4	Paperback book	1	
689			"Conze, Edward"	The Perfection of Wisdom in Eight Thousand Lines & its verse summary		1973	Four seasons			Mahayana Sutras	MAH TXT	PW8	CON				0-87704-049-4	Paperback book	1	
690			"Conze, Edward"	The Large Sutra on Perfect Wisdom	With the divisions of abhisamayalankara	1979	Indological Publishers			Mahayana Sutras	MAH TXT	PWL	CON					Hardback book	1	
691			"Griffiths, P et al"	The Realm of Awakening	A Translation & study of the tenth chapter of Asanga's Mahayanasangraha	1989	Oxford University Press				MAH TXT	RA	GRI				0-19-505731-7	hard	1	
692			"Hanh, Thich Nhat"	The Sutra on the Eight Realizations of the Great Beings	"A Buddhist Scripture on simplicity, Generosity and Compassion"	1987	Parallax Press			Mahayana Sutras	MAH TXT	RGB	HAN				0-938077-07-4	Pamphlet	1	
693			"Ross Reat, N."	The Salistamba Sutra		1993	Motilal Banarsidass			Mahayana Sutras	MAH TXT	SAL	ROS				81-208-1135-6		1	
694			"Power, J."	Jnanagarbha's Commentary on just the Maitreya Chapter from the Samdhinirmocana-Sutra	"Study, Translation and Tibetan text"	1998	Indian Council of Philosophical Research			Mahayana Sutras	MAH TXT	SAM	POW				81-85636-37-0	Hardback book	1	
695			"Power, J."	Wisdom of Buddha	The Samdhinirmocana Mahayana Sutra	1995	Dharma Publishing			Mahayana Sutras	MAH TXT	SAM	POW				0-89800-246-x	Hardback book	1	
696			"Regamey, K."	Philosophy in the Samadhirajasutra		1990	Motilal Banarsidass			Mahayana Sutras	MAH TXT	SAM	REG				81-208-0763-4	Hardback book	1	
697			"Emmerick, R.E."	The Sutra of Golden Light	Being a translation of Survarnabhasottamasutra	1979	Pali Text Society			Mahayana Sutras	MAH TXT	SGL	EMM				0-7100-0332-3	Hardback book	1	
698			"Emmerick, R.E."	The Sutra of Golden Light	Being a translation of Survarnabhasottamasutra	1996	Pali Text Society			Mahayana Sutras	MAH TXT	SGL	EMM				0-86013-348-6	Hardback book	1	
699			"Bendall, C & Rouse, WHD"	Siksa Samuccaya	A Compendium of Buddhist Doctrine	1971	Motilal Banarsidass				MAH TXT	SIK	BEN				81-208-0732-4	hard	1	
700			"Emmerick, R.E."	The Khotanse Surangamasamadhisutra	London Oriental Series Volume 23	1970	Oxford University Press			Mahayana Sutras	MAH TXT	SUR	EMM				19-713562-5	Hardback book	1	
701			"Lamotte, E."	Suramgamasamadhisutra	The Concentration of Heroic Progress	1998	Curzon Press			Mahayana Sutras	MAH TXT	SUR	LAM				0-7007-1024-8	Hardback book	1	
702			"Luk, C."	The Surangama Sutra		1966	Rider & Company			Mahayana Sutras	MAH TXT	SUR	LUK					Hardback book	1	
703	"Nagarjuna and Pandit, Sakya"		"Olivo, Montse Castella?"	Elegant Sayings	The Staff of Wisdom; A Precious Treasury of Elegant Sayings	1977	Dharma Publishing	United States	1	Madhyamaka and Yogacara	MAH TXT	SW	NAG	tibetan; philosophy; sayings; mah?y?na; ma??ju?r?	Collection of extracts of sayings from Sakya Pandita and N?g?rjuna		0-913546-13-5	Paperback book	1	
704	Maitreya (Arya)		"Fuchs, Rosemarie"	Buddha Nature	The Mahayana Uttaratantra Shastra	2000	Snow Lion Publications			Madhyamaka and Yogacara	MAH TXT	UTS	FUC				1-55939-128-6	Hardback book	1	
705	Nagarjuna		"Bhattacharya, K."	The Dialectical Method of Nagarjuna	Vigrahavyavartani	1990	Motilal Banarsidass			Madhyamaka and Yogacara	MAH TXT	VIG	NAG				81-208-0176-8	Hardback book	1	
706			"Chatterjee, K.N."	Vijnapti Matratasiddhi		1980	Kishor Vidyaniketan			Mahayana Sutras	MAH TXT	VIJ	CHA					Hardback book	1	
707			"lamotte, E & Boin ,S"	The Teaching of Vimalakirti		1976	The Pali Text Society				MAH TXT	VIM	LAM				0-7100-8540-0	HARDBACK	1	
708			"Luk, Charles"	The Vimalakirti Nirdesa Sutra		1972	shambala				MAH TXT	VIM	LUK				0-8777-035-0	haedback	1	
709	"Luk, Charles"			The Vimalakiti Nirdesa Sutra		1972	shambala				MAH TXT	VIM	LUK					paperback	1	
710			"Thurman, R.A.F"	The Holy Teachings of the Vimalakirti	A Mahayana Scripture	2003	Pennsylvania State University Press			Mahayana Sutras	MAH TXT	VIM	THU				0-271-00601-3	Paperback book	1	
711			"Thurman, R.A.F"	The Holy Teachings of Vimalakirti	Purification of the Buddha-field	2003	Motilal Banarsidass			Mahayana Sutras	MAH TXT	VIM	THU					hardback	1	
712			"Watson, Burton"	The Vimalakirti Sutra		1997	Columbia University Press			Mahayana Sutras	MAH TXT	VIM	WAT				0-231-10656-4	Book	1	
713			"Watson, Burton"	The Vimalakirti Sutra		1997	Columbia University Press			Mahayana Sutras	MAH TXT	VIM	WAT				0-231-10656-4	Book	1	
714			"Hurvitz, L."	Scripture of the Lotus Blossom of the Fine Dharma	The Lotus Sutra	1976	Columbia University Press			Mahayana Sutras	MAH TXT	WLS	HUR				0-231-03920-4	Paperback book	1	
715			"Kato, Bunno et al"	The Threefold Lotus Sutra	The Sutra of Innumerable Meanings; The Sutra of the Lotus Flower of the Wonderful Law; The Sutra of Meditation on the Bodhisattva Universal Virtue	1986	Kosei Publishing Company			Mahayana Sutras	MAH TXT	WLS	KAT				4-333-00208-7	Paperback book	1	
716			"Kato, Bunno et al"	The Threefold Lotus Sutra	The Sutra of Innumerable Meanings; The Sutra of the Lotus Flower of the Wonderful Law; The Sutra of Meditation on the Bodhisattva Universal Virtue	1986	Kosei Publishing Company			Mahayana Sutras	MAH TXT	WLS	KAT				4-333-00208-7	Paperback book	1	
717			"Soothill, W.E."	The Lotus of the Wonderful Law	The Lotus Gospel	1987	Curzon Press			Mahayana Sutras	MAH TXT	WLS	SOO				0-391-03465-0	Paperback book	1	
718			"Watson, Burton"	The Lotus Sutra		1993	Columbia University Press			Mahayana Sutras	MAH TXT	WLS	WAT				0-231-08161-8	Paperback book	1	
719			"Conze, Edward"	The Diamond Sutra and The Heart Sutra		1975	George Allen and Unwin Ltd	London	2	Buddhist scriptures; anthologies	MAH TXT	DS/HS	CON	diamond sutra; heart sutra; praj?aparamita	Translation of the Diamond Sutra and Heart Sutra with commentary from Edward Conze	Book needs re-binding and is marked with some annotation	42940907	Book	1	
720			"Aung, S.Z."	Points of Controversy	The Katha-vatthu	1993	Pali Text Society			Abhidhamma	PAL	ABH	AUN				0-86013-002-9	Hardback book	1	
721			"Law, Bimila Churn"	Human Types		1992	Pali Text Society			Abhidhamma	PAL	ABH	LAW				0-86013-009-6	Hardback book	1	
722			"Narada, U."	Conditional Relations Vol I		1992	Pali Text Society			Abhidhamma	PAL	ABH	NAR				0-86013-028-2	Hardback book	1	
723			"Narada, U."	Conditional Relations Vol II		1993	Pali Text Society			Abhidhamma	PAL	ABH	NAR				0-86013-264-1	Hardback book	1	
724			"Narada, U."	Discourse on Elements		1977	Pali Text Society			Abhidhamma	PAL	ABH	NAR				0-7100-8656-3	Hardback book	1	
725			"Thittlia, P A"	The Book of Analysis		1988	Pali Text Society			Abhidhamma	PAL	ABH	THI				0-86013-030-4	Hardback book	1	
726			"Aung, S.Z."	Compendium of Philosophy		1995	Pali Text Society			Abhidhamma	PAL	ABH 	AUN				0-86013-0002	Hardback book	1	
727			"Rhys Davids, TW"	Buddhist Psychology		1975	Oriental Books Reprint Corporation			Abhidhamma	PAL	ABH C	RHY					Hardback book	1	
728			"Tin, Pemung"	"The Expositor I, II"		1976	Pali Text Society			Commentary	PAL	ABH C	TIN				0-7100-84-17X	Hardback book	1	
729			"Wijeratne, R.P., Gethin, R."	Summary of the Topics of Abhidhamma and Exposition of the Topics of Abhidhamma		2002	Pali Text Society			Commentary	PAL	ABH C	WIJ				0-86013-412-1	Hardback book	1	
730			"Bodhi, Bhikku"	The Numerical Discourses of the Buddha		2012	Wisdom		Pali Texts in English		PAL	AN	BOD	Anguttara Nikaya			978-1-61429-040-7	Hardback book	1	
731			"Hare, E"	Gradual Sayings III		1988	Pali Text Society			In English Suttas	PAL	AN	HAR				0-86013-0169	Hardback book	1	
732			"Hare, E"	Gradual Sayings IV		1978	Pali Text Society			In English Suttas	PAL	AN	HAR				0-7100-0092-8	Hardback book	1	
733			"Thera, N."	Anguttara Nikaya Part I	Discourses of the Buddha. An anthology. Part	1970	Buddhist Publication Society			Suttas not PTS	PAL	AN	THE					Paperback book	1	
734			"Thera, N."	Anguttara Nikaya Part I	Discourses of the Buddha. An anthology. Part	1981	Buddhist Publication Society			Suttas not PTS	PAL	AN	THE					Paperback book	1	
735			"Thera, N."	Anguttara Nikaya Part II	Discourses of the Buddha. An anthology. Part	1988	Buddhist Publication Society			Suttas not PTS	PAL	AN	THE					Paperback book	1	
736			"Thera, N., Bikkhu Bodhi"	Numerical Discourses of the Buddha	An Anthology of Suttas from the Anguttara Nikaya	1999	Altamira Press			Suttas not PTS	PAL	AN	THE				0-7425-0404-2	Paperback book	1	
737			"Woodward, F L"	Gradual Sayings I		1989	Pali Text Society			In English Suttas	PAL	AN	WOO				0-86013-014-2	Hardback book	1	
738			"Woodward, F L"	Gradual Sayings II		1992	Pali Text Society			In English Suttas	PAL	AN	WOO				0-86013-015-0	Hardback book	1	
739			"Woodward, F L"	Gradual Sayings V		1986	Pali Text Society			In English Suttas	PAL	AN	WOO				0-86013-018-5	Hardback book	1	
740	"Nanananda, Bhikkhu"			The Magic of the Mind	An Exposition of the Kalakarama Sutta	1974	Buddhist Publication Society				PAL	AN C	NAN						1	
741	"Warren, Henry Clarke"			Buddhism in Translations		1995	Motilal Banarsidass	"Delhi, India"	1	Buddhist scriptures; anthologies	PAL	ANTH	BUD	p?li canon; life of the buddha; karma; rebirth;  meditation; nirvana; monasticism	Collection of translated selections from the P?li canon focused on the Buddha; doctrine; the Order and secular life	First two pages are coming away from spine	81-208-0335-3	Hardback Book	1	
742	"Thomas, E. J."			Buddhist Scriptures		2007	Pilgrims Publishing	India	2	Suttas not PTS	PAL	ANTH	BUD	Pali canon; christian parallels			81-7769-082-5	Paperback book	1	
743			"Rhys Davids, T.W."	Buddhist Sutras 	Sacred Books of the East Vol 11	1987	AVF Books Distributors			Suttas not PTS	PAL	ANTH	BUD					Paperback book	1	
